Designator,Mid X,Mid Y,Rotation,Layer
C10,200.187701,-49.99843,339.0948426,bottom
C100,230.340031,-164.261051,159.09484255,bottom
C101,65.199796,-192.548854,339.0948426,bottom
C102,81.080726,-186.482879,339.0948426,bottom
C103,96.961655,-180.416904,339.0948426,bottom
C104,104.902121,-195.581841,339.0948426,bottom
C105,120.783051,-189.515867,339.0948426,bottom
C106,136.663981,-183.44989,339.0948426,bottom
C107,160.485377,-192.548854,339.0948426,bottom
C108,176.366307,-186.482879,339.0948426,bottom
C109,192.247236,-180.416903,339.0948426,bottom
C11,216.068631,-43.932454,339.0948426,bottom
C110,200.187702,-195.581842,339.0948426,bottom
C111,216.068632,-189.515867,339.0948426,bottom
C112,231.949562,-183.44989,339.0948426,bottom
C113,41.024606,-197.848992,249.09484255,bottom
C114,47.709334,-215.821844,159.09484255,bottom
C115,63.590264,-209.755868,159.09484255,bottom
C116,79.471195,-203.689892,159.09484255,bottom
C117,103.29259,-212.788856,159.09484255,bottom
C118,119.173521,-206.72288,159.09484255,bottom
C119,135.05445,-200.656905,159.09484255,bottom
C12,231.949561,-37.866479,339.0948426,bottom
C120,142.994915,-215.821842,159.09484255,bottom
C121,158.875845,-209.755868,159.09484255,bottom
C122,174.756776,-203.689892,159.09484255,bottom
C123,198.578171,-212.788856,159.09484255,bottom
C124,214.459102,-206.72288,159.09484255,bottom
C125,230.340031,-200.656905,159.09484255,bottom
C14,48.96507,-67.430518,249.09484255,bottom
C15,63.590263,-64.172456,159.09484255,bottom
C16,79.471192,-58.10648,159.09484255,bottom
C17,103.292588,-67.205444,159.09484255,bottom
C18,119.173519,-61.139468,159.09484255,bottom
C19,135.054449,-55.073492,159.09484255,bottom
C2,81.080724,-40.899467,159.09484255,bottom
C20,142.994914,-70.23843,159.09484255,bottom
C21,158.875844,-64.172456,159.09484255,bottom
C22,174.756773,-58.106479,159.09484255,bottom
C23,198.578169,-67.205444,159.09484255,bottom
C24,214.4591,-61.139468,159.09484255,bottom
C25,230.34003,-55.073492,159.09484255,bottom
C26,65.199795,-83.361295,339.0948426,bottom
C27,81.080725,-77.29532,339.0948426,bottom
C28,96.961655,-71.229344,339.0948426,bottom
C29,104.90212,-86.394282,339.0948426,bottom
C3,96.961654,-34.833492,339.0948426,bottom
C30,120.78305,-80.328308,339.0948426,bottom
C31,136.663979,-74.262331,339.0948426,bottom
C32,160.485376,-83.361295,339.0948426,bottom
C33,176.366306,-77.29532,339.0948426,bottom
C34,192.247236,-71.229343,339.0948426,bottom
C35,200.187702,-86.394283,339.0948426,bottom
C36,216.068631,-80.328308,339.0948426,bottom
C37,231.949561,-74.262332,339.0948426,bottom
C38,41.761494,-87.829997,270.0,bottom
C39,47.709333,-106.634285,159.09484255,bottom
C4,104.90212,-49.99843,339.0948426,bottom
C40,63.590263,-100.568309,159.09484255,bottom
C41,79.471194,-94.502333,159.09484255,bottom
C42,103.292589,-103.601296,159.09484255,bottom
C43,119.173519,-97.535321,159.09484255,bottom
C44,135.054449,-91.469346,159.09484255,bottom
C45,142.994914,-106.634283,159.09484255,bottom
C46,158.875844,-100.568309,159.09484255,bottom
C47,174.756774,-94.502332,159.09484255,bottom
C48,198.578169,-103.601297,159.09484255,bottom
C49,214.4591,-97.535321,159.09484255,bottom
C5,120.78305,-43.932454,339.0948426,bottom
C50,230.34003,-91.469345,159.09484255,bottom
C51,65.199795,-119.757149,339.0948426,bottom
C52,81.080725,-113.691173,339.0948426,bottom
C53,96.961655,-107.625198,339.0948426,bottom
C54,104.90212,-122.790135,339.0948426,bottom
C55,120.78305,-116.724161,339.0948426,bottom
C56,136.663981,-110.658185,339.0948426,bottom
C57,160.485376,-119.757148,339.0948426,bottom
C58,176.366306,-113.691173,339.0948426,bottom
C59,192.247236,-107.625196,339.0948426,bottom
C6,136.66398,-37.866479,339.0948426,bottom
C60,200.187701,-122.790135,339.0948426,bottom
C61,216.068631,-116.724161,339.0948426,bottom
C62,231.949562,-110.658185,339.0948426,bottom
C63,41.024605,-125.057286,249.09484255,bottom
C64,47.709334,-143.030137,159.09484255,bottom
C65,63.590264,-136.964162,159.09484255,bottom
C66,79.471193,-130.898186,159.09484255,bottom
C67,103.292589,-139.99715,159.09484255,bottom
C68,119.173519,-133.931173,159.09484255,bottom
C69,135.054449,-127.865199,159.09484255,bottom
C7,160.485375,-46.965442,339.0948426,bottom
C70,142.994915,-143.030136,159.09484255,bottom
C71,158.875845,-136.964162,159.09484255,bottom
C72,174.756775,-130.898185,159.09484255,bottom
C73,198.57817,-139.99715,159.09484255,bottom
C74,214.4591,-133.931174,159.09484255,bottom
C75,230.34003,-127.865199,159.09484255,bottom
C76,65.199795,-156.153002,339.0948426,bottom
C77,81.080725,-150.087025,339.0948426,bottom
C78,96.961655,-144.021051,339.0948426,bottom
C79,104.902121,-159.185989,339.0948426,bottom
C8,176.366305,-40.899467,339.0948426,bottom
C80,120.783051,-153.120013,339.0948426,bottom
C81,136.663981,-147.054037,339.0948426,bottom
C82,160.485376,-156.153002,339.0948426,bottom
C83,176.366306,-150.087026,339.0948426,bottom
C84,192.247236,-144.02105,339.0948426,bottom
C85,200.187702,-159.185989,339.0948426,bottom
C86,216.068632,-153.120013,339.0948426,bottom
C87,231.949562,-147.054038,339.0948426,bottom
C88,41.024606,-161.453139,249.09484255,bottom
C89,47.709334,-179.425991,159.09484255,bottom
C9,192.247235,-34.83349,339.0948426,bottom
C90,63.590264,-173.360015,159.09484255,bottom
C900,56.504902,-32.612027,180.0,bottom
C901,71.916993,-32.6,180.0,bottom
C91,79.471194,-167.294039,159.09484255,bottom
C92,103.29259,-176.393002,159.09484255,bottom
C93,119.17352,-170.327027,159.09484255,bottom
C94,135.05445,-164.261051,159.09484255,bottom
C95,142.994915,-179.425989,159.09484255,bottom
C96,158.875845,-173.360015,159.09484255,bottom
C97,174.756774,-167.294038,159.09484255,bottom
C98,198.578171,-176.393002,159.09484255,bottom
C99,214.459101,-170.327027,159.09484255,bottom
D10,194.958162,-62.861169,69.0948425,bottom
D100,234.660488,-175.081716,69.0948425,bottom
D101,59.970257,-205.411592,69.0948425,bottom
D102,75.851187,-199.345618,69.0948425,bottom
D103,91.732117,-193.279641,69.0948425,bottom
D104,99.672582,-208.444581,69.0948425,bottom
D105,115.553512,-202.378606,69.0948425,bottom
D106,131.434442,-196.31263,69.0948425,bottom
D107,155.255838,-205.411593,69.0948425,bottom
D108,171.136768,-199.345617,69.0948425,bottom
D109,187.017698,-193.279642,69.0948425,bottom
D11,210.839092,-56.795192,69.0948425,bottom
D110,194.958163,-208.444581,69.0948425,bottom
D111,210.839093,-202.378605,69.0948425,bottom
D112,226.720023,-196.31263,69.0948425,bottom
D113,44.089327,-211.477569,69.0948425,bottom
D114,50.6,-223.75,69.0948425,bottom
D115,67.910723,-220.576532,69.0948425,bottom
D116,83.791652,-214.510557,69.0948425,bottom
D117,107.613047,-223.60952,69.0948425,bottom
D118,123.493978,-217.543544,69.0948425,bottom
D119,139.374908,-211.477568,69.0948425,bottom
D12,226.720022,-50.729218,69.0948425,bottom
D120,146.25,-224.8,69.0948425,bottom
D121,163.196304,-220.576532,69.0948425,bottom
D122,179.077233,-214.510556,69.0948425,bottom
D123,202.898628,-223.60952,69.0948425,bottom
D124,218.779558,-217.543543,69.0948425,bottom
D125,234.660489,-211.477568,69.0948425,bottom
D14,52.02979,-81.059096,69.0948425,bottom
D15,67.910721,-74.99312,69.0948425,bottom
D16,83.791651,-68.927144,69.0948425,bottom
D17,107.613046,-78.026108,69.0948425,bottom
D18,123.493975,-71.960131,69.0948425,bottom
D19,139.374906,-65.894157,69.0948425,bottom
D2,75.851185,-53.762206,69.0948425,bottom
D20,147.315371,-81.059095,69.0948425,bottom
D21,163.196302,-74.99312,69.0948425,bottom
D22,179.077232,-68.927143,69.0948425,bottom
D23,202.898627,-78.026108,69.0948425,bottom
D24,218.779557,-71.960132,69.0948425,bottom
D25,234.660487,-65.894157,69.0948425,bottom
D26,59.970256,-96.224034,69.0948425,bottom
D27,75.851186,-90.158058,69.0948425,bottom
D28,91.732116,-84.092082,69.0948425,bottom
D29,99.672581,-99.257022,69.0948425,bottom
D3,91.732116,-47.69623,69.0948425,bottom
D30,115.553511,-93.191047,69.0948425,bottom
D31,131.434441,-87.125071,69.0948425,bottom
D32,155.255837,-96.224034,69.0948425,bottom
D33,171.136767,-90.158058,69.0948425,bottom
D34,187.017697,-84.092083,69.0948425,bottom
D35,194.958162,-99.257022,69.0948425,bottom
D36,210.839091,-93.191045,69.0948425,bottom
D37,226.720022,-87.125071,69.0948425,bottom
D38,44.089326,-102.29001,69.0948425,bottom
D39,52.029791,-117.454948,69.0948425,bottom
D4,99.672581,-62.861169,69.0948425,bottom
D40,67.910721,-111.388973,69.0948425,bottom
D41,83.791651,-105.322998,69.0948425,bottom
D42,107.613046,-114.421961,69.0948425,bottom
D43,123.493976,-108.355984,69.0948425,bottom
D44,139.374907,-102.290009,69.0948425,bottom
D45,147.315371,-117.454948,69.0948425,bottom
D46,163.196302,-111.388973,69.0948425,bottom
D47,179.077232,-105.322996,69.0948425,bottom
D48,202.898627,-114.421961,69.0948425,bottom
D49,218.779557,-108.355984,69.0948425,bottom
D5,115.55351,-56.795193,69.0948425,bottom
D50,234.660488,-102.290009,69.0948425,bottom
D51,59.970256,-132.619886,69.0948425,bottom
D52,75.851186,-126.553912,69.0948425,bottom
D53,91.732116,-120.487935,69.0948425,bottom
D54,99.672581,-135.652874,69.0948425,bottom
D55,115.553512,-129.586899,69.0948425,bottom
D56,131.434442,-123.520924,69.0948425,bottom
D57,155.255838,-132.619887,69.0948425,bottom
D58,171.136767,-126.553912,69.0948425,bottom
D59,187.017696,-120.487935,69.0948425,bottom
D6,131.434441,-50.729218,69.0948425,bottom
D60,194.958162,-135.652875,69.0948425,bottom
D61,210.839093,-129.586899,69.0948425,bottom
D62,226.720023,-123.520924,69.0948425,bottom
D63,44.089326,-138.685863,69.0948425,bottom
D64,52.029791,-153.850802,69.0948425,bottom
D65,67.910721,-147.784826,69.0948425,bottom
D66,83.791651,-141.718851,69.0948425,bottom
D67,107.613047,-150.817813,69.0948425,bottom
D68,123.493977,-144.751838,69.0948425,bottom
D69,139.374907,-138.685863,69.0948425,bottom
D7,155.255836,-59.82818,69.0948425,bottom
D70,147.315372,-153.850802,69.0948425,bottom
D71,163.196302,-147.784826,69.0948425,bottom
D72,179.077232,-141.71885,69.0948425,bottom
D73,202.898628,-150.817813,69.0948425,bottom
D74,218.779558,-144.751838,69.0948425,bottom
D75,234.660488,-138.685863,69.0948425,bottom
D76,59.970256,-169.015739,69.0948425,bottom
D77,75.851186,-162.949765,69.0948425,bottom
D78,91.732117,-156.883789,69.0948425,bottom
D79,99.672582,-172.048728,69.0948425,bottom
D8,171.136766,-53.762206,69.0948425,bottom
D80,115.553512,-165.982753,69.0948425,bottom
D81,131.434442,-159.916777,69.0948425,bottom
D82,155.255837,-169.015739,69.0948425,bottom
D83,171.136767,-162.949765,69.0948425,bottom
D84,187.017698,-156.883789,69.0948425,bottom
D85,194.958163,-172.048728,69.0948425,bottom
D86,210.839093,-165.982751,69.0948425,bottom
D87,226.720023,-159.916777,69.0948425,bottom
D88,44.089326,-175.081716,69.0948425,bottom
D89,52.029792,-190.246654,69.0948425,bottom
D9,187.017696,-47.696229,69.0948425,bottom
D90,67.910722,-184.180679,69.0948425,bottom
D900,81.002533,-42.802649,159.09484255,bottom
D91,83.791652,-178.114703,69.0948425,bottom
D92,107.613047,-187.213667,69.0948425,bottom
D93,123.493976,-181.14769,69.0948425,bottom
D94,139.374907,-175.081716,69.0948425,bottom
D95,147.315372,-190.246655,69.0948425,bottom
D96,163.196303,-184.180679,69.0948425,bottom
D97,179.077233,-178.114703,69.0948425,bottom
D98,202.898628,-187.213667,69.0948425,bottom
D99,218.779558,-181.147691,69.0948425,bottom
LED10,195.412702,-51.019467,159.09484255,bottom
LED100,235.115029,-163.240014,339.0948426,bottom
LED101,60.424797,-193.569892,159.09484255,bottom
LED102,76.305728,-187.503916,159.09484255,bottom
LED103,92.186658,-181.437941,159.09484255,bottom
LED104,100.127123,-196.60288,159.09484255,bottom
LED105,116.008054,-190.536904,159.09484255,bottom
LED106,131.888983,-184.470929,159.09484255,bottom
LED107,155.710378,-193.569892,159.09484255,bottom
LED108,171.591309,-187.503916,159.09484255,bottom
LED109,187.472239,-181.43794,159.09484255,bottom
LED11,211.293633,-44.953492,159.09484255,bottom
LED110,195.412703,-196.60288,159.09484255,bottom
LED111,211.293635,-190.536904,159.09484255,bottom
LED112,227.174564,-184.470928,159.09484255,bottom
LED113,44.543867,-199.635868,339.0948426,bottom
LED114,52.484333,-214.800806,339.0948426,bottom
LED115,68.365263,-208.73483,339.0948426,bottom
LED116,84.246193,-202.668855,339.0948426,bottom
LED117,108.067588,-211.767817,339.0948426,bottom
LED118,123.948518,-205.701843,339.0948426,bottom
LED119,139.829448,-199.635866,339.0948426,bottom
LED12,227.174563,-38.887515,159.09484255,bottom
LED120,147.769914,-214.800806,339.0948426,bottom
LED121,163.650844,-208.73483,339.0948426,bottom
LED122,179.531774,-202.668855,339.0948426,bottom
LED123,203.353168,-211.767817,339.0948426,bottom
LED124,219.234099,-205.701843,339.0948426,bottom
LED125,235.115029,-199.635866,339.0948426,bottom
LED14,52.484331,-69.217394,339.0948426,bottom
LED15,68.365261,-63.151419,339.0948426,bottom
LED16,84.246191,-57.085442,339.0948426,bottom
LED17,108.067587,-66.184406,339.0948426,bottom
LED18,123.948517,-60.11843,339.0948426,bottom
LED19,139.829447,-54.052454,339.0948426,bottom
LED2,76.305725,-41.920503,159.09484255,bottom
LED20,147.769912,-69.217394,339.0948426,bottom
LED21,163.650842,-63.151419,339.0948426,bottom
LED22,179.531772,-57.085443,339.0948426,bottom
LED23,203.353168,-66.184406,339.0948426,bottom
LED24,219.234098,-60.11843,339.0948426,bottom
LED25,235.115028,-54.052455,339.0948426,bottom
LED26,60.424796,-84.382333,159.09484255,bottom
LED27,76.305726,-78.316356,159.09484255,bottom
LED28,92.186657,-72.250382,159.09484255,bottom
LED29,100.127122,-87.41532,159.09484255,bottom
LED3,92.186656,-35.854529,159.09484255,bottom
LED30,116.008052,-81.349345,159.09484255,bottom
LED31,131.888982,-75.28337,159.09484255,bottom
LED32,155.710377,-84.382333,159.09484255,bottom
LED33,171.591307,-78.316356,159.09484255,bottom
LED34,187.472238,-72.250381,159.09484255,bottom
LED35,195.412702,-87.41532,159.09484255,bottom
LED36,211.293633,-81.349345,159.09484255,bottom
LED37,227.174563,-75.283368,159.09484255,bottom
LED38,44.543866,-90.448308,339.0948426,bottom
LED39,52.484331,-105.613246,339.0948426,bottom
LED4,100.127121,-51.019468,159.09484255,bottom
LED40,68.365262,-99.547271,339.0948426,bottom
LED41,84.246192,-93.481296,339.0948426,bottom
LED42,108.067587,-102.580258,339.0948426,bottom
LED43,123.948517,-96.514284,339.0948426,bottom
LED44,139.829447,-90.448307,339.0948426,bottom
LED45,147.769912,-105.613247,339.0948426,bottom
LED46,163.650843,-99.547271,339.0948426,bottom
LED47,179.531773,-93.481296,339.0948426,bottom
LED48,203.353169,-102.580259,339.0948426,bottom
LED49,219.234098,-96.514284,339.0948426,bottom
LED5,116.008052,-44.953492,159.09484255,bottom
LED50,235.115027,-90.448307,339.0948426,bottom
LED51,60.424797,-120.778186,159.09484255,bottom
LED52,76.305727,-114.712209,159.09484255,bottom
LED53,92.186657,-108.646235,159.09484255,bottom
LED54,100.127122,-123.811174,159.09484255,bottom
LED55,116.008052,-117.745198,159.09484255,bottom
LED56,131.888982,-111.679223,159.09484255,bottom
LED57,155.710378,-120.778185,159.09484255,bottom
LED58,171.591308,-114.71221,159.09484255,bottom
LED59,187.472238,-108.646235,159.09484255,bottom
LED6,131.888982,-38.887516,159.09484255,bottom
LED60,195.412703,-123.811173,159.09484255,bottom
LED61,211.293633,-117.745198,159.09484255,bottom
LED62,227.174563,-111.679222,159.09484255,bottom
LED63,44.543867,-126.844161,339.0948426,bottom
LED64,52.484332,-142.0091,339.0948426,bottom
LED65,68.365262,-135.943125,339.0948426,bottom
LED66,84.246192,-129.877149,339.0948426,bottom
LED67,108.067587,-138.976111,339.0948426,bottom
LED68,123.948517,-132.910137,339.0948426,bottom
LED69,139.829448,-126.844161,339.0948426,bottom
LED7,155.710377,-47.98648,159.09484255,bottom
LED70,147.769913,-142.0091,339.0948426,bottom
LED71,163.650843,-135.943125,339.0948426,bottom
LED72,179.531773,-129.877149,339.0948426,bottom
LED73,203.353168,-138.976111,339.0948426,bottom
LED74,219.234098,-132.910137,339.0948426,bottom
LED75,235.115029,-126.844161,339.0948426,bottom
LED76,60.424797,-157.174039,159.09484255,bottom
LED77,76.305726,-151.108063,159.09484255,bottom
LED78,92.186657,-145.042088,159.09484255,bottom
LED79,100.127123,-160.207026,159.09484255,bottom
LED8,171.591306,-41.920503,159.09484255,bottom
LED80,116.008053,-154.141051,159.09484255,bottom
LED81,131.888983,-148.075075,159.09484255,bottom
LED82,155.710378,-157.174039,159.09484255,bottom
LED83,171.591307,-151.108062,159.09484255,bottom
LED84,187.472238,-145.042088,159.09484255,bottom
LED85,195.412703,-160.207027,159.09484255,bottom
LED86,211.293634,-154.141051,159.09484255,bottom
LED87,227.174564,-148.075075,159.09484255,bottom
LED88,44.543867,-163.240014,339.0948426,bottom
LED89,52.484331,-178.404952,339.0948426,bottom
LED9,187.472237,-35.854529,159.09484255,bottom
LED90,68.365262,-172.338978,339.0948426,bottom
LED91,84.246192,-166.273001,339.0948426,bottom
LED92,108.067588,-175.371964,339.0948426,bottom
LED93,123.948518,-169.30599,339.0948426,bottom
LED94,139.829448,-163.240013,339.0948426,bottom
LED95,147.769913,-178.404953,339.0948426,bottom
LED96,163.650843,-172.338978,339.0948426,bottom
LED97,179.531773,-166.273002,339.0948426,bottom
LED98,203.353169,-175.371965,339.0948426,bottom
LED99,219.234099,-169.305989,339.0948426,bottom
R1,71.970543,-44.379246,159.09484255,bottom
RZ1,52.916072362124304,-46.76250556841365,45.0,top
U1,61.904902,-35.212026,270.0,bottom
U2,77.304902,-34.012027,270.0,bottom
